Parent	WATOff	Names	Truck	Plant	Stud0	Stud1	Stud2	Stud3	Stud4	Stud5	Stud6	Stud7	Stud8	Stud9	Stud10	Stud11	Stud12	Stud13	Stud14	Stud15	Stud16	Stud17	Stud18	Stud19	Stud20	Mach0	Mach1	Mach2	Mach3	Mach4	Mach5	Mach6	Mach7	Mach8	Mach9	Mach10	Mach11	Mach12	Mach13	Mach14	Mach15	Mach16	Mach17	Mach18	Cour0	Cour1
*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******
S	S	S																								S16																			S	S	
D14,3		R0		S	S3,30	S2,30	S1,30	S0,30	S2,30	S2,30	S1,30	S3,30	S3,30	S2,30	S3,30	S1,30	S0,30	S2,30	S0,30	S3,30	S1,30	S1,30	S0,30	S1,30	S2,30		S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16			
			d9,11																																												
D8,2			U9,3																															R	r												
			D9,6																																												
			d10,6																																												
D7,2			U10,13																																R	r											
			D10,6																																												
			d11,6																																												
D17,2			U11,16																																	R	r										
			D11,6																																												
			d12,6																																												
D2,2			U12,18																																		R	r									
			D12,5																																												
			d13,5																																												
D4,3			U13,24																																			R	r								
			D13,4																																												
			d14,4																																												
D5,1			U14,28																																				R	r							
D15,1			D14,0																																					R							
D11,1																																															
D2,1																																															
D4,1			P23																																												
D2,2			d0,23	P																						r																					
			D0,23																																												
D4,1			d1,23																							R	r																				
			D1,23																																												
D7,2			d2,23	G21																							R	r																			
			D2,23																																												
D12,1			d3,23																									R	r																		
			D3,23																																												
D9,3			d4,23																										R	r																	
			D4,23																																												
D0,2			d5,23																											R	r																
			D5,23																																												
D14,3	W		d6,23		B10																					B3,7					R	r													T0,21		
			D6,23																																												
			d7,23																																										t18,21		
D13,1	W		D7,23																				B10			B0,7						R	r												T18,21		
D9,1			d8,23																														R	r											t5,21		
			D8,23																																												
D12,1	T18,21		d9,23																															R	r												
			D9,20																																												
			d10,20																																												
D16,1			U10,8																																R	r											
			D10,15																																												
			d11,15																																												
D13,1	T0,21		U11,16																																	R	r										
			D11,15																																												
			d12,15																																												
D4,1			U12,16																																		R	r									
			D12,13																																												
			d13,13																																												
D4,2			U13,18																																			R	r								
			D13,7																																												
			d14,7																																												
D9,3			U14,24																																				R	r							
			D14,3																																												
			d15,3																																												
D3,3			U15,29																																					R	r						
D16,1			D15,0																																						R						
D5,2			P21																																												
D15,2	W		d0,21	P																						r																			T5,21		
			D0,19																																												
			d1,19																																										t6,21		
D6,2	W																									R	r																		T6,21		
			D1,19							B10																B2,7																					
D16,1			d2,19	G7							B10															B1,7	R	r																	t16,21		
			D2,19																																												
D12,1			d3,19																									R	r																		
			D3,19																																												
D19,2			d4,19																										R	r																	
			D4,19																																												
D20,1	T6,21		d5,19																											R	r																
			D5,19																																												
D12,2	T5,21		d6,19																												R	r															
			D6,19																																												
D19,1			d7,19																													R	r														
			D7,19																																												
D4,2			d8,19																														R	r													
			D8,19																																												
D2,1			d9,19																															R	r												
			D9,19																																												
D10,2			d10,19																																R	r											
			D10,11																																												
			d11,11																																												
D6,3			U11,13																																	R	r										
			D11,8																																												
			d12,8																																												
D1,3			U12,16																																		R	r									
			D12,8																																												
			d13,8																																												
D15,3			U13,16																																			R	r								
			D13,6																																												
			d14,6																																												
D13,3			U14,21																																				R	r							
			D14,3																																												
			d15,3																																												
D18,3			U15,26																																					R	r						
D17,1			D15,0																																						R						
D11,1																																															
D10,1			P7																																												
D1,2			d0,7	P																						r																					
			D0,5																																												
D6,3			d1,5																							R	r																				
			D1,5																																												
D7,3			d2,5	G15																							R	r																			
			D2,5																																												
D14,1			d3,5																									R	r																		
			D3,5																																												
D10,1			d4,5																										R	r																	
			D4,5																																												
D9,3			d5,5																											R	r																
			D5,5																																												
D0,3			d6,5																												R	r															
D11,3			D6,5																													R															
D10,3			d7,5																														r														
			D7,5																																												
D3,2			d8,5																														R	r													
			D8,5																																												
D19,3			d9,5																															R	r												
			D9,5																																												
D14,1			d10,5																																R	r											
			D10,5																																												
			d11,5																																												
D0,2			U11,12																																	R	r										
			D11,4																																												
			d12,4																																												
D16,3			U12,16																																		R	r									
			D12,4																																												
			d13,4																																												
D17,3			U13,16																																			R	r								
			D13,4																																												
			d14,4																																												
D11,2			U14,19																																				R	r							
			D14,2																																												
			d15,2																																												
D4,1			U15,24																																					R	r						
D9,1			D15,0																																						R						
D4,1																																															
D11,2																																															
D19,2																																															
D4,2			P15																																												
D16,3			d0,15	P																						r																					
			D0,15																																												
D6,2			d1,15																							R	r																				
			D1,15																																												
D11,3			d2,15	G14																							R	r																			
			D2,15																																												
D9,1			d3,15																									R	r																		
